Year,Name,Gender,Count
1880,Melva,F,6
1880,Mena,F,6
1880,Mercedes,F,6
1880,Merle,F,6
1880,Mima,F,6
1880,Minda,F,6
1880,Monica,F,6
1880,Nealie,F,6
1880,Netta,F,6
1880,Nolia,F,6
1880,Nonie,F,6
1880,Odelia,F,6
1880,Ottilie,F,6
1880,Phyllis,F,6
1880,Robbie,F,6
1880,Sabina,F,6
1880,Sada,F,6
1880,Sammie,F,6
1880,Suzanne,F,6
1880,Sybilla,F,6
1880,Thea,F,6
1880,Tressie,F,6
1880,Vallie,F,6
1880,Venie,F,6
1880,Viney,F,6
1880,Wilhelmine,F,6
1880,Winona,F,6
1880,Zelda,F,6
1880,Zilpha,F,6
1880,Adelle,F,5
1880,Adina,F,5
1880,Adrienne,F,5
1880,Albertine,F,5
1880,Alys,F,5
1880,Ana,F,5
1880,Araminta,F,5
1880,Arthur,F,5
1880,Birtha,F,5
1880,Bulah,F,5
1880,Caddie,F,5
1880,Celie,F,5
1880,Charlotta,F,5
1880,Clair,F,5
1880,Concepcion,F,5
1880,Cordella,F,5
1880,Corrine,F,5
1880,Delila,F,5
1880,Delphine,F,5
1880,Dosha,F,5
1880,Edgar,F,5
1880,Elaine,F,5
1880,Elisa,F,5
1880,Ellar,F,5
1880,Elmire,F,5
1880,Elvina,F,5
1880,Ena,F,5
1880,Estie,F,5
1880,Etter,F,5
1880,Fronnie,F,5
1880,Genie,F,5
1880,Georgina,F,5
1880,Glenn,F,5
1880,Gracia,F,5
1880,Guadalupe,F,5
1880,Gwendolyn,F,5
1880,Hassie,F,5
1880,Honora,F,5
1880,Icy,F,5
1880,Isa,F,5
1880,Isadora,F,5
1880,Jesse,F,5
1880,Jewel,F,5
1880,Joe,F,5
1880,Johannah,F,5
1880,Juana,F,5
1880,Judith,F,5
1880,Judy,F,5
1880,Junie,F,5
1880,Lavonia,F,5
1880,Lella,F,5
1880,Lemma,F,5
1880,Letty,F,5
1880,Linna,F,5
1880,Littie,F,5
1880,Lollie,F,5
1880,Lorene,F,5
1880,Louis,F,5
1880,Love,F,5
1880,Lovisa,F,5
1880,Lucina,F,5
1880,Lynn,F,5
1880,Madora,F,5
1880,Mahalia,F,5
1880,Manervia,F,5
1880,Manuela,F,5
1880,Margarett,F,5
1880,Margaretta,F,5
1880,Margarita,F,5
1880,Marilla,F,5
1880,Mignon,F,5
1880,Mozella,F,5
1880,Natalie,F,5
1880,Nelia,F,5
1880,Nolie,F,5
1880,Omie,F,5
1880,Opal,F,5
1880,Ossie,F,5
1880,Ottie,F,5
1880,Ottilia,F,5
1880,Parthenia,F,5
1880,Penelope,F,5
1880,Pinkey,F,5
1880,Pollie,F,5
1880,Rennie,F,5
1880,Reta,F,5
1880,Roena,F,5
1880,Rosalee,F,5
1880,Roseanna,F,5
